time,state_1,state_2,state_3,state_4,state_5
0,0,0,0,0,0
60,0,0,0,0,0
120,0,0,0,0,0
180,0,0,0,0,0
240,0,0,0,0,0
300,0,0,0,0,0
360,0,0,0,0,0
420,0,0,0,0,0
480,0,0,0,0,0
540,0,0,0,0,0
600,0,0,0,0,0
660,0,0,0,0,0
720,0,0,0,0,0
780,0,0,0,0,0
840,0,0,0,0,0
900,0,0,0,0,0
960,0,0,0,0,0
1020,0,0,2,0,0
1080,0,0,2,0,0
1140,0,0,2,0,0
1200,0,0,2,0,0
1260,0,0,2,0,0
1320,0,0,2,0,0
1380,0,0,2,0,0
1440,0,0,2,0,0
1500,0,0,2,0,0
1560,0,0,2,0,0
1620,0,0,2,0,0
1680,0,0,2,0,0
1740,0,0,2,0,0
1800,0,0,2,0,0
1860,0,0,2,0,0
1920,0,0,2,0,0
1980,0,0,0,2,0
2040,0,0,2,0,0
2100,0,0,0,0,0
2160,0,0,0,0,0
2220,0,0,0,0,0
2280,0,0,0,0,0
2340,0,0,0,0,0
2400,3,0,0,0,0
2460,0,0,0,0,0
2520,0,0,0,0,0
2580,0,0,0,0,0
2640,0,0,0,0,0
2700,0,0,0,0,0
2760,0,0,0,0,0
2820,0,0,0,0,0
2880,0,0,0,0,0
2940,0,0,3,0,0
3000,0,0,3,0,0
3060,0,0,3,0,0
3120,0,0,3,0,0
3180,0,0,3,0,0
3240,0,0,3,0,0
3300,0,0,3,0,0
3360,0,0,3,0,0
3420,0,0,3,0,0
3480,0,0,3,0,0
3540,0,0,3,0,0
3600,0,0,3,0,0
3660,0,0,3,0,0
3720,0,0,3,0,0
3780,0,0,3,0,0
3840,0,0,3,0,0
3900,0,0,3,0,0
3960,2,0,3,0,0
4020,2,0,0,2,0
4080,3,0,2,0,0
4140,0,0,2,0,0
4200,2,0,2,0,0
4260,2,0,0,0,0
4320,2,0,0,0,0
4380,3,0,0,0,0
4440,2,0,0,0,1
4500,3,0,0,0,1
4560,2,0,0,0,1
4620,0,0,0,2,1
4680,2,0,0,0,2
4740,0,0,2,0,2
4800,0,0,3,0,2
4860,0,0,0,0,2
4920,2,0,0,0,2
4980,0,0,0,2,2
5040,0,0,2,0,2
5100,2,0,0,0,0
5160,2,0,2,0,0
5220,0,0,2,0,0
5280,0,0,2,0,0
5340,0,0,2,0,1
5400,0,0,2,0,1
5460,0,0,2,0,1
5520,0,0,2,0,1
5580,0,0,2,0,1
5640,0,0,0,2,2
5700,2,0,3,0,2
5760,0,0,0,3,2
5820,2,0,0,0,2
5880,2,0,0,0,0
5940,2,0,2,0,0
6000,0,0,2,0,0
6060,0,0,2,0,0
6120,0,0,2,0,1
6180,0,0,2,0,1
6240,0,0,2,0,1
6300,0,0,2,0,1
6360,0,0,2,0,1
6420,0,0,2,0,1
6480,0,2,2,0,1
6540,0,0,0,0,2
6600,0,0,0,3,2
6660,2,0,3,0,2
6720,2,0,0,0,0
6780,2,0,3,0,0
6840,0,0,2,0,0
6900,0,0,2,0,0
6960,0,0,2,0,0
7020,0,0,2,0,1
7080,0,0,3,0,1
7140,0,0,3,0,1
7200,0,0,3,0,1
7260,0,0,3,0,1
7320,2,0,3,0,1
7380,0,2,3,0,2
7440,2,0,0,0,2
7500,0,0,3,0,2
7560,2,0,0,0,2
7620,2,0,3,0,0
7680,0,0,2,0,0
7740,0,0,2,0,0
7800,0,0,2,0,1
7860,0,0,0,2,1
7920,0,0,3,0,1
7980,3,0,3,0,1
8040,0,0,3,0,1
8100,0,0,3,0,1
8160,0,0,3,0,1
8220,2,0,0,0,2
8280,2,0,3,0,2
8340,0,0,3,0,2
8400,0,0,0,2,2
8460,2,0,0,0,0
8520,0,0,2,0,0
8580,0,0,2,0,0
8640,3,0,2,0,1
8700,3,0,3,0,1
8760,0,0,2,0,1
8820,0,0,2,0,1
8880,0,0,0,2,1
8940,0,0,2,0,1
9000,0,0,0,2,1
9060,2,0,2,0,2
9120,0,0,2,0,2
9180,0,0,0,0,2
9240,0,0,3,0,2
9300,2,0,0,0,0
9360,0,0,2,0,0
9420,2,0,0,0,0
9480,2,0,2,0,0
9540,2,0,2,0,0
9600,0,0,3,0,0
9660,0,0,3,0,0
9720,0,0,2,0,1
9780,0,0,3,0,1
9840,0,0,2,0,1
9900,0,0,3,0,1
9960,0,0,3,0,1
10020,0,0,3,0,1
10080,0,0,0,0,2
10140,0,0,0,0,2
10200,0,0,0,0,2
10260,0,0,0,0,0
10320,0,0,0,0,0
10380,2,0,0,0,0
10440,0,3,0,0,0
10500,0,3,2,0,0
10560,3,0,2,0,0
10620,3,0,2,0,0
10680,3,0,2,0,0
10740,3,0,2,0,0
