time,state_1,state_2,state_3,state_4,state_5
0,0,0,0,0,0
60,0,0,2,0,0
120,0,0,2,0,0
180,0,0,3,0,0
240,0,0,2,0,0
300,0,0,2,0,0
360,0,0,2,0,0
420,0,0,2,0,0
480,0,0,2,0,0
540,0,0,2,0,0
600,0,0,2,0,0
660,0,0,2,0,0
720,0,0,2,0,0
780,0,0,2,0,0
840,0,0,2,0,0
900,0,0,2,0,0
960,0,0,2,0,0
1020,0,0,2,0,0
1080,0,0,2,0,0
1140,0,0,2,0,0
1200,0,0,0,0,0
1260,0,0,2,0,0
1320,0,0,2,0,0
1380,0,0,2,0,0
1440,0,0,2,0,1
1500,0,0,2,0,1
1560,0,0,2,0,1
1620,0,0,2,0,1
1680,0,0,2,0,1
1740,0,0,2,0,2
1800,0,0,0,2,2
1860,0,0,2,0,2
1920,0,0,3,0,2
1980,0,0,2,0,2
2040,0,0,2,0,2
2100,0,0,0,2,2
2160,0,0,2,0,0
2220,0,0,0,2,0
2280,3,0,2,0,0
2340,0,0,2,0,0
2400,0,0,2,0,0
2460,0,0,2,0,1
2520,0,0,2,0,1
2580,0,0,2,0,1
2640,0,0,2,0,1
2700,0,0,3,0,1
2760,0,0,2,0,2
2820,0,0,2,0,2
2880,0,0,2,0,2
2940,0,0,0,0,2
3000,0,0,2,0,2
3060,0,0,0,2,0
3120,0,0,2,0,0
3180,3,0,2,0,0
3240,0,0,2,0,0
3300,0,0,2,0,1
3360,0,0,2,0,1
3420,0,0,2,0,1
3480,0,0,2,0,1
3540,0,0,2,0,1
3600,0,0,2,0,1
3660,0,0,2,0,1
3720,0,0,2,0,1
3780,0,0,3,0,1
3840,0,0,0,2,1
3900,0,0,2,0,2
3960,0,0,2,0,2
4020,0,0,3,0,2
4080,0,0,2,0,2
4140,0,0,2,0,0
4200,0,0,0,2,0
4260,0,0,2,0,0
4320,0,0,2,0,0
4380,3,0,2,0,0
4440,3,0,2,0,1
4500,3,0,2,0,1
4560,0,3,2,0,1
4620,3,0,2,0,1
4680,3,0,2,0,1
4740,3,0,2,0,1
4800,3,0,2,0,2
4860,0,0,2,0,2
4920,0,0,2,0,2
4980,0,0,0,0,2
5040,0,0,3,0,2
5100,0,0,2,0,0
5160,0,0,0,2,0
5220,0,0,2,0,0
5280,3,0,2,0,0
5340,3,0,2,0,0
5400,3,0,2,0,0
5460,3,0,2,0,0
5520,3,0,2,0,0
5580,3,0,2,0,1
5640,3,0,2,0,1
5700,3,0,2,0,1
5760,3,0,2,0,1
5820,3,0,2,0,1
5880,3,0,0,0,1
5940,3,0,2,0,2
6000,2,0,2,0,2
6060,0,0,2,0,2
6120,0,0,3,0,2
6180,0,0,2,0,0
6240,0,0,0,0,0
6300,0,0,2,0,0
6360,3,0,0,0,0
6420,3,0,2,0,0
6480,2,0,2,0,0
6540,2,0,0,0,0
6600,2,0,0,2,0
6660,0,0,2,0,0
6720,3,0,2,0,0
6780,3,0,2,0,0
6840,3,0,2,0,1
6900,3,0,2,0,1
6960,3,0,2,0,1
7020,3,0,2,0,1
7080,3,0,2,0,1
7140,3,0,2,0,1
7200,0,0,2,0,2
7260,0,0,2,0,2
7320,0,0,2,0,2
7380,0,0,3,0,0
7440,0,0,3,0,0
7500,0,0,3,0,0
7560,0,0,2,0,0
7620,0,0,0,2,0
7680,0,0,2,0,0
7740,0,0,2,0,0
7800,3,0,2,0,0
7860,0,0,2,0,1
7920,0,0,2,0,1
7980,0,0,2,0,1
8040,0,0,2,0,1
8100,3,0,2,0,1
8160,3,0,2,0,2
8220,0,0,2,0,2
8280,0,0,0,0,2
8340,0,0,3,0,2
8400,2,0,3,0,0
8460,0,0,2,0,0
8520,3,0,2,0,0
8580,3,0,2,0,1
8640,3,0,2,0,1
8700,3,0,2,0,1
8760,3,0,0,0,1
8820,3,0,2,0,2
8880,0,0,2,0,2
8940,0,0,3,0,2
9000,0,0,0,0,0
9060,0,0,2,0,0
9120,0,0,2,0,0
9180,0,0,0,2,0
9240,0,0,2,0,0
9300,0,0,2,0,0
9360,0,0,2,0,0
9420,0,0,0,0,0
